original_english	augmented_spanglish	original_spanish
They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths.	They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths.	Sin embargo, deberían recogerse de manera sistemática para complementar los datos de vigilancia actuales que se centran en la cantidad de casos informados y la cantidad de muertes.
A study performed in 2010–11 showed a large variation in the availability of intensive care and intermediate care beds in Europe, ranging from 29.2 in Germany to 4.2 beds per 100,000 population in Portugal.	A estudia realizado in 2010–11 mostraron a large variación in las disponibilidades of intenso cuidados y intermediario cuidado camas in Europe, ranging desde 29.2 in alemania to 4.2 camas per 100,000 población in Portugal.	Un estudio realizado en 2010–11 demostró una gran variación en la disponibilidad de camas de cuidados intensivos y cuidados intermedios en Europa, que iba de 29,2 en Alemania a 4,2 camas cada 100 000 habitantes en Portugal.
This means that countries may have more or less resources than Italy (12.5 intensive care and intermediate care beds per 100,000 population in 2010–11).	este significa que países mayo tengan más or menos recursos than italia (12.5 intenso cuidados y intermedios cuidado lechos per 100,000 población in 2010–11).	Esto significa que los países pueden tener más o menos recursos que Italia (12,5 camas de cuidados intensivos y cuidados intermedios cada 100 000 habitantes en 2010–11).
Modelling scenarios related to healthcare capacity saturation, with estimates for each EU/EEA country and the UK of the prevalence of hospitalised COVID-19 cases associated with a &amp; gt; 90% risk of exceeding intensive care bed capacity, are provided in the sixth update of the ECDC rapid risk assessment on COVID-19.	modelado escenarios relacionado to healthcare capacidad saturation, con estimados para cada EU/EEA pais y los UK of la predominio of hospitalizado COVID-19 cases associated con a &amp; gt; 90% riesgo of exceder intensivo cuidados lecho capacity, son proporcionado in las sexta actualización of las ECDC rapid arriesgar valoración on COVID-19.	Escenarios modelo en relación con la saturación de la capacidad de atención médica, con cálculos para cada país de la UE/EEE y el RU de la prevalencia de los casos de hospitalización por COVID-19 asociados a un riesgo &gt; 90 % de superación de la capacidad de camas de cuidados intensivos, se proporcionan en la sexta actualización de la evaluación rápida del riesgo del ECDC sobre la COVID-19.
Since cases have so far clustered in certain regions in EU/EEA countries and the UK, and hospitals and intensive care units usually serve a defined regional catchment population, information about cases and intensive care beds should preferably be made available at the Nomenclature of territorial units for statistics 2 (NUTS-2) level.	desde estuches tienen so lejos agrupadas in ciertos regiones in EU/EEA paises y el UK, y hospitales y intensiva cuidados unidades habitualmente sirva a definida regionales catchment population, informacion acerca estuches y intensivo cuidados lechos debiera preferentemente be hecha disponible at las nomenclatura of territoriales unidades para estadística 2 (NUTS-2) level.	Dado que, hasta el momento, se han formado conglomerados de casos en ciertas regiones de países de la UE/EEE y el RU, y que los hospitales y las unidades de cuidados intensivos normalmente atienden a una población de captación regional definida, la información sobre los casos y las camas de cuidados intensivos preferentemente debe ponerse a disposición a nivel de la Nomenclatura de unidades territoriales estadísticas 2 (NUTS-2).
The experience from Italy and the current trends in other countries show that the COVID-19 pandemic is progressing rapidly in the EU/EEA and the UK.	la experiencias de italia y el actual tendencias in otros paises show que las COVID-19 pandemia is progresando rápidamente in los EU/EEA y los UK.	La experiencia de Italia y las tendencias actuales en otros países muestran que la pandemia de COVID-19 está avanzando rápidamente en la UE/EEE y el RU.
Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy.	Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy.	Los países, los hospitales y las unidades de cuidados intensivos, por ende, deben prepararse para un escenario de transmisión comunitaria sostenida del SARS-CoV-2 y un aumento en la cantidad de pacientes con COVID-19 que requieren atención médica y, en particular, cuidados intensivos, como el que está ocurriendo en las regiones afectadas de Italia.
As pointed out in the recent ECDC rapid risk assessment, a rapid, proactive and comprehensive approach is essential to delay the spread of SARS-COV-2, with a shift from a containment to a mitigation approach, as the anticipated rapid increase in the number of cases may not provide decision makers and hospitals enough time to comprehend, accept and adapt their response accordingly if not implemented ahead of time.	As pointed out in the recent ECDC rapid risk assessment, a rapid, proactive and comprehensive approach is essential to delay the spread of SARS-COV-2, with a shift from a containment to a mitigation approach, as the anticipated rapid increase in the number of cases may not provide decision makers and hospitals enough time to comprehend, accept and adapt their response accordingly if not implemented ahead of time.	Como se indica en la evaluación rápida del riesgo del ECDC, es esencial adoptar un enfoque rápido, proactivo e integral para retrasar la propagación del SARS-CoV-2, con un cambio de un enfoque de contención a uno de mitigación, dado que el aumento rápido previsto en el número de casos posiblemente no les dé tiempo suficiente a los responsables de las decisiones y los hospitales para comprender, aceptar y adaptar su respuesta de manera acorde si no se implementa con anticipación.
The rapid risk assessment also lists the public health measures to mitigate the impact of the pandemic.	los rapid riesgos evaluación tambien listas los público salud medidas to mitigar los impact of el pandemic.	La evaluación rápida del riesgo también enumera las medidas de salud pública necesarias para mitigar el impacto de la pandemia.
There is a short window of opportunity during which countries have the possibility to further increase their control efforts to slow down the spread of SARS-CoV-2 and decrease the pressure on healthcare.	allí is a corto ventana of oportunidades durante cuál paises tener el posibilidad to further incremento su controlar esfuerzos to lentos down los difundir of SARS-CoV-2 y disminuir el presion on healthcare.	Hay un breve período de oportunidad durante el cual los países tienen la posibilidad de profundizar sus esfuerzos de control para frenar la propagación del SARS-CoV-2 y disminuir la presión sobre el sistema de salud.
Failing this, it is likely that the healthcare systems of other EU/EEA countries will face a surge of patients that require intensive care within the coming days or weeks.	fallando this, it is probables eso los healthcare sistemas of otras EU/EEA países testamento carita a oleada of pacientes que exigir intensiva cuidado within la venir jornadas or weeks.	Si no se hace esto, es probable que los sistemas de salud de otros países de la UE/EEE se enfrenten a una ola de pacientes que requieran cuidados intensivos en los próximos días y semanas.
