original_english	augmented_chinglish	original_chinese
Modelling scenarios related to healthcare capacity saturation, with estimates for each EU/EEA country and the UK of the prevalence of hospitalised COVID-19 cases associated with a &amp; gt; 90% risk of exceeding intensive care bed capacity, are provided in the sixth update of the ECDC rapid risk assessment on COVID-19.	Modelling 情景 相關 to 保健 容量 saturation, with 估計 for 每個 EU/EEA 國家 而且 the UK of the 發病率 of hospitalised COVID-19 案例 associated with a &amp; gt; 90% 風險 of 超過 密集 關心 床 capacity, are 提供 in the 第六 更新 of the ECDC rapid 風險 評估 on COVID-19.	ECDC 对 COVID-19 快速风险评估的第六次更新对医疗保健能力饱和相关场景进行了建模，并对每个 EU/EEA 国家以及英国的住院 COVID-19 患者的患病率与超过重症监护床位量的风险 &amp; gt; 90% 之间的关系进行了估计。
Since cases have so far clustered in certain regions in EU/EEA countries and the UK, and hospitals and intensive care units usually serve a defined regional catchment population, information about cases and intensive care beds should preferably be made available at the Nomenclature of territorial units for statistics 2 (NUTS-2) level.	Since cases have so far clustered in certain regions in EU/EEA countries and the UK, and hospitals and intensive care units usually serve a defined regional catchment population, information about cases and intensive care beds should preferably be made available at the Nomenclature of territorial units for statistics 2 (NUTS-2) level.	由于迄今为止病例聚集在 EU/EEA 国家以及 UK 的某些区域，并且医院和重症监护病房通常为确定区域的覆盖人口提供服务，因此最好在“标准统计地域单元 2” (NUTS-2) 层面提供有关病例和重症监护床位的信息。
The experience from Italy and the current trends in other countries show that the COVID-19 pandemic is progressing rapidly in the EU/EEA and the UK.	The 經驗 來自 義大利 和 the 目前 trends in 其他 各國 展示 那個 the COVID-19 流行病 is progressing rapidly in the EU/EEA 還有 the UK.	意大利的经验以及其他国家的当前趋势表明，EU/EEA 以及英国的 COVID-19 大流行病正在迅速发展。
Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy.	Countries, hospitals and intensive care units should thus prepare themselves for a scenario of sustained community transmission of SARS-CoV-2 and an increase in the number of patients with COVID-19 requiring healthcare, and in particular intensive care, such as the one occurring in the affected regions of Italy.	因此，国家、医院和重症监护病房都应做好准备，以应对 SARS-CoV-2 持续社区传播以及需要医疗保健，尤其是重症监护的 COVID-19 患者人数增加的情况，例如意大利受影响地区出现的情况。
As pointed out in the recent ECDC rapid risk assessment, a rapid, proactive and comprehensive approach is essential to delay the spread of SARS-COV-2, with a shift from a containment to a mitigation approach, as the anticipated rapid increase in the number of cases may not provide decision makers and hospitals enough time to comprehend, accept and adapt their response accordingly if not implemented ahead of time.	As pointed 出局 in the 近期 ECDC rapid 風險 assessment, a rapid, proactive 而且 comprehensive approach is essential to 推遲 the 蔓延 of SARS-COV-2, with a 輪班 從 a 遏制 to a 緩解 approach, as the 預計 rapid 增加 in the 數字 of 案例 五月 not 提供 決定 makers 而且 醫院 enough 時光 to comprehend, 接受 還有 適應 their 答復 accordingly if not implemented ahead of time.	正如最近的 ECDC 快速风险评估指出，快速、积极和全面的方法对于延缓 SARS-COV-2 的传播至关重要，需要从遏制过渡至缓解方法，因为如果不提前实施，预期病例数的快速增长可能让决策者和医院没有足够的时间来理解、接受和调整应对措施。
The rapid risk assessment also lists the public health measures to mitigate the impact of the pandemic.	The rapid risk assessment also lists the public health measures to mitigate the impact of the pandemic.	快速风险评估还列出了缓解大流行病影响的公共卫生措施。
There is a short window of opportunity during which countries have the possibility to further increase their control efforts to slow down the spread of SARS-CoV-2 and decrease the pressure on healthcare.	There is a short window of opportunity during which countries have the possibility to further increase their control efforts to slow down the spread of SARS-CoV-2 and decrease the pressure on healthcare.	目前存在一个短暂的机会窗口，各国有可能借此进一步加大控制力度，以减缓 SARS-CoV-2 的传播速度并减轻对健康护理系统的压力。
Failing this, it is likely that the healthcare systems of other EU/EEA countries will face a surge of patients that require intensive care within the coming days or weeks.	Failing this, it is likely 那個 the 保健 系統 of 其他 EU/EEA 國家 威爾 臉 a 激增 of 病人 那個 require 密集 關心 within the coming 日子 or weeks.	否则，其他 EU/EEA 国家的医疗保健系统很可能在今后几天或几周内面临需要重症监护患者的激增。
The outbreak of Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome (SARS) coronavirus 2 (SARS-CoV-2), has thus far killed over 3,000 people and infected over 80,000 in China and elsewhere in the world, resulting in catastrophe for humans.	The outbreak of Coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome (SARS) coronavirus 2 (SARS-CoV-2), has thus far killed over 3,000 people and infected over 80,000 in China and elsewhere in the world, resulting in catastrophe for humans.	由严重急性呼吸系统综合征 (SARS) 冠状病毒 2 (SARS-CoV-2) 引起的 2019 冠状病毒疾病 (COVID-19) 爆发迄今已在中国及世界其他地区感染 80,000 多人，导致 3,000 多人死亡，造成巨大的人类灾难。
Similar to its homologous virus, SARS-CoV, which caused SARS in thousands of people in 2003, SARS-CoV-2 might also be transmitted from the bats and causes similar symptoms through a similar mechanism.	Similar to its homologous virus, SARS-CoV, which caused SARS in thousands of people in 2003, SARS-CoV-2 might also be transmitted from the bats and causes similar symptoms through a similar mechanism.	与其同源病毒 SARS-CoV——在 2003 年导致成千上万人感染 SARS——相似，SARS-CoV-2 也可能由蝙蝠传播，并通过相仿的机制引起类似的症状。
However, COVID-19 has lower severity and mortality than SARS but is much more transmissive and affects more elderly individuals than youth and more men than women.	However, COVID-19 has 低 severity 和 死亡率 than SARS 但是 is much 更 transmissive 還有 affects 多 老人 individuals than 青少年 和 更 男子 than women.	虽然 COVID-19 的严重性和死亡率低于 SARS，但其传播性更强，受影响的老年人多于年轻人，男性多于女性。
In response to the rapidly increasing number of publications on the emerging disease, this article attempts to provide a timely and comprehensive review of the swiftly developing research subject.	In response to the rapidly increasing number of publications on the emerging disease, this article attempts to provide a timely and comprehensive review of the swiftly developing research subject.	鉴于新冠肺炎相关出版物迅速增加，本文欲对这个迅速发展的研究课题进行一次及时而全面的综述。
We will cover the basics about the epidemiology, etiology, virology, diagnosis, treatment, prognosis, and prevention of the disease.	We 威爾 掩護 the basics 關於 the epidemiology, etiology, virology, diagnosis, treatment, prognosis, 還有 預防 of the disease.	我们将介绍有关该病的流行病学、病因学、病毒学、诊断、治疗、预后和预防的基本知识。
Although many questions still require answers, we hope that this review helps in the understanding and eradication of the threatening disease.	雖然 許多 問題 仍然 require answers, we hope 那個 這個 審查 helps in the 諒解 而且 鏟除 of the threatening disease.	虽然许多问题仍待解答，但我们希望本综述有助于理解和根除这种可怕的疾病。
The Spring Festival on January 25, 2020 has become an unprecedented and unforgettable memory to all Chinese who were urged to stay indoors for all the holiday and for many weeks after due to the outbreak of a novel viral disease.	The 彈簧 節慶 on 一月 25, 2020 has 成為 an 史無前例 還有 難忘 回憶 to all 華人 誰 were urged to 留 室內 for 所有 the 度假 而且 for 許多 星期 後 到期 to the 暴發 of a 小說 viral disease.	2020 年 1 月 25 日的春节成为中国人前所未有而刻骨铭心的记忆，一种新型病毒性疾病的爆发迫使所有人在整个假期以及随后的多个星期足不出户。
The virus is highly homologous to the coronavirus (CoV) that caused an outbreak of severe acute respiratory syndrome (SARS) in 2003; thus, it was named SARS-CoV-2 by the World Health Organization (WHO) on February 11, 2020, and the associated disease was named CoV Disease-19 (COVID-19).	The 病毒 is highly 同源 to the coronavirus (CoV) 那個 caused an 暴發 of 嚴重 尖銳 respiratory 症候群 (SARS) in 2003; thus, it was named SARS-CoV-2 by the 世界 健康 組織 (WHO) on 二月 11, 2020, 還有 the associated 病 was named cov Disease-19 (COVID-19).	这种病毒与 2003 年引起严重急性呼吸综合征 (SARS) 爆发的冠状病毒 (CoV) 具有高度同源性；因此，世界卫生组织 (WHO) 于 2020 年 2 月 11 日将其命名为 SARS-CoV-2，相关疾病被称为冠状病毒疾病-19 (COVID-19)。
